id,default,d_dummy,student,student_dummy,balance,income,gender,edu,avg_late_payment
1,No,0,No,0,729.5264952,44361.62507,1,0,58
2,No,0,Yes,1,817.1804066,12106.1347,0,1,48
3,No,0,No,0,1073.549164,31767.13895,1,1,1
4,No,0,No,0,529.2506047,35704.49394,0,1,30
5,No,0,No,0,785.6558829,38463.49588,0,0,17
6,No,0,Yes,1,919.5885305,7491.558572,0,0,0
7,No,0,No,0,825.5133305,24905.22658,0,1,46
8,No,0,Yes,1,808.6675043,17600.45134,1,1,20
9,No,0,No,0,1161.057854,37468.52929,1,0,24
10,No,0,No,0,0,29275.26829,0,0,20
11,No,0,Yes,1,0,21871.07309,0,0,8
12,No,0,Yes,1,1220.583753,13268.56222,0,0,1
13,No,0,No,0,237.045114,28251.69534,1,0,55
14,No,0,No,0,606.7423433,44994.55585,0,0,21
15,No,0,No,0,1112.968401,23810.17405,1,1,18
16,No,0,No,0,286.2325601,45042.41304,1,1,74
17,No,0,No,0,0,50265.31235,1,1,18
18,No,0,Yes,1,527.5401841,17636.53962,1,0,32
19,No,0,No,0,485.9368642,61566.10612,1,0,13
20,No,0,No,0,1095.072735,26464.63139,1,1,1
21,No,0,No,0,228.9525496,50500.1822,0,0,88
22,No,0,No,0,954.2617928,32457.50908,1,0,23
23,No,0,No,0,1055.956605,51317.88308,0,0,41
24,No,0,No,0,641.9843888,30466.10326,1,0,85
25,No,0,No,0,773.2117245,34353.31431,0,0,41
26,No,0,No,0,855.0085225,25211.33216,1,0,59
27,No,0,No,0,642.9997385,41473.5118,0,0,21
28,No,0,No,0,1454.863272,32189.09495,1,0,45
29,No,0,No,0,615.7042766,39376.39462,1,1,9
30,No,0,Yes,1,1119.569353,16556.07021,0,0,72
31,No,0,No,0,494.8162288,54384.78284,1,0,40
32,No,0,Yes,1,448.8806563,15799.47041,0,0,65
33,No,0,Yes,1,584.9048947,22429.93505,1,0,89
34,No,0,No,0,913.5871726,46907.2254,1,0,74
35,No,0,Yes,1,1423.938917,22634.48809,1,1,49
36,No,0,Yes,1,1499.724657,13190.65272,1,0,58
37,No,0,No,0,692.0341671,47806.61177,0,1,50
38,No,0,No,0,351.4534715,35087.48865,1,1,58
39,No,0,No,0,742.6276208,37864.82394,1,0,63
40,No,0,No,0,653.1184001,39489.5947,1,1,66
41,No,0,No,0,872.1386795,41787.56727,1,0,42
42,No,0,No,0,837.2626228,51471.77209,1,0,80
43,No,0,No,0,1151.630566,42917.46956,0,0,68
44,No,0,Yes,1,220.5556084,16872.94756,0,0,78
45,No,0,Yes,1,1690.23441,19052.57222,1,1,44
46,No,0,No,0,408.7729143,54206.93921,1,0,61
47,No,0,No,0,1238.610321,50066.68053,0,0,41
48,No,0,No,0,1228.30835,37408.50387,0,0,80
49,No,0,No,0,820.9192041,47746.54207,0,1,47
50,No,0,No,0,857.4851178,31688.34597,0,0,90
51,No,0,No,0,563.6181772,42641.25327,1,0,45
52,No,0,Yes,1,1282.972534,13120.63647,0,1,74
53,No,0,Yes,1,1505.782675,26557.14145,0,0,71
54,No,0,Yes,1,904.0402591,16882.30061,1,1,67
55,No,0,No,0,0,49956.58057,1,0,63
56,No,0,Yes,1,1294.497347,10464.32073,0,0,21
57,No,0,Yes,1,1275.550633,15887.46849,0,1,25
58,No,0,No,0,1536.594601,48766.90746,0,1,58
59,No,0,No,0,1332.522644,39143.13707,1,0,13
60,No,0,No,0,492.0797678,33379.0946,1,0,0
61,No,0,No,0,766.2343793,46478.29426,1,0,79
62,No,0,No,0,690.1272462,63432.98425,0,0,84
63,No,0,No,0,0,32481.54005,1,0,22
64,No,0,No,0,1480.655309,36866.15707,0,1,50
65,No,0,No,0,989.055597,45344.25132,0,0,69
66,No,0,No,0,1302.341835,33695.42623,0,1,78
67,No,0,No,0,1044.552343,54696.76598,0,1,45
68,No,0,No,0,0,43658.22772,0,0,25
69,No,0,No,0,866.0284364,38363.42163,0,0,66
70,No,0,No,0,690.8007924,48140.47134,1,0,75
71,No,0,No,0,597.757142,31577.61513,1,0,47
72,No,0,No,0,429.4854023,51311.2181,0,0,85
73,No,0,No,0,1398.156201,39644.94219,1,1,90
74,No,0,Yes,1,1578.064099,19886.49395,0,1,9
75,No,0,No,0,857.0690531,26655.68897,0,1,70
76,No,0,Yes,1,752.459946,16211.27579,0,1,47
77,No,0,Yes,1,774.738427,15193.73314,1,1,90
78,No,0,No,0,728.3732513,45131.71826,0,0,70
79,No,0,No,0,76.99129053,28392.09341,0,0,51
80,No,0,No,0,196.4569131,41346.78591,1,0,89
81,No,0,Yes,1,948.7479184,14297.61905,0,0,54
82,No,0,No,0,431.9208853,39369.88156,1,1,59
83,No,0,No,0,461.6381822,46221.21149,1,1,25
84,No,0,No,0,572.0157602,33046.31296,1,1,81
85,No,0,No,0,335.5681447,51258.44423,1,0,85
86,No,0,No,0,510.2375932,60397.71865,1,1,47
87,No,0,Yes,1,1005.161306,24038.65204,0,1,58
88,No,0,Yes,1,162.4544511,13241.75206,0,0,58
89,No,0,No,0,932.5331557,50537.46565,0,0,8
90,No,0,Yes,1,893.3304676,11905.68179,1,0,75
91,No,0,No,0,1332.782564,44495.16276,1,0,77
92,No,0,No,0,1404.383069,35043.10603,1,1,74
93,No,0,Yes,1,1148.965139,16578.19212,1,0,76
94,No,0,No,0,368.2234257,57596.82584,1,0,35
95,No,0,No,0,449.4666288,45950.66672,0,0,33
96,No,0,No,0,820.0171126,51584.65732,1,0,5
97,No,0,Yes,1,619.7518686,15750.62208,1,1,47
98,No,0,No,0,1047.718124,46416.97099,0,1,22
99,No,0,No,0,243.8413283,47193.88813,1,0,47
100,No,0,No,0,186.5003869,45430.55027,0,1,56
101,No,0,No,0,1422.018488,38224.03152,0,0,71
102,No,0,No,0,383.798659,61425.28639,0,0,40
103,No,0,No,0,1159.435096,45802.10494,0,0,14
104,No,0,No,0,882.9919126,17181.73797,0,0,1
105,No,0,No,0,1463.232892,65457.85419,1,0,66
106,No,0,Yes,1,1722.355846,19311.42294,0,0,22
107,No,0,Yes,1,773.9218613,14558.91214,0,0,13
108,No,0,No,0,958.1694185,32816.2848,0,1,75
109,No,0,No,0,1207.53273,68037.57513,0,0,60
110,No,0,No,0,1056.61083,30546.60103,1,0,22
111,No,0,No,0,117.6424839,46550.26727,1,0,14
112,No,0,No,0,596.9641192,58088.36045,1,1,75
113,No,0,No,0,0,47729.62576,1,0,65
114,No,0,Yes,1,541.6627553,16335.70344,0,0,51
115,No,0,No,0,1119.178303,45020.01912,0,0,66
116,No,0,Yes,1,810.3209365,20498.66581,0,0,74
117,No,0,No,0,271.5514377,32850.12014,1,0,29
118,No,0,No,0,1114.403237,47714.02211,0,1,38
