Day,sales,invest_radio_updated,invst_television_updated,invst_newpaper,invst_bb,invst_bus_taxi,competition
1,13801327,1650121.24,501666,139078.27,2224212.32,19375.75164,4878438
2,5970524,708166.88,509462,60490.24,961869.84,8313.09168,5408375
3,10021771,1197658.52,556956,100863.71,1611243.36,14085.73772,3061915
4,13245034,1581363.08,461972,133164.34,2132626.44,17955.44488,6106526
5,10865348,1302650.76,529758,109689.48,1747149.68,15079.25936,3309626
6,15646449,1864031.88,409359,157453.49,2514381.84,21938.31268,2146645
7,15955039,1911448.68,511959,160212.39,2561294.24,22201.65148,5783980
8,16203134,1942722.08,512517,162981.34,2606010.44,21946.13688,4426374
9,2600676,302976.12,453978,26582.76,426587.16,4164.89232,374544
10,4273314,514631.68,511273,43869.14,692149.24,6108.77448,1034646
11,2853794,338689.28,466124,29572.94,470434.04,4804.00808,5003720
12,5361897,642796.64,561780,54187.97,865885.52,7698.70404,4872922
13,726463,82556.56,545692,7919.63,129449.08,1407.93116,2619367
14,3441318,398303.16,500394,35481.18,564160.88,5864.53976,237948
15,16301605,1946374.6,437743,163630.05,2619380.8,22729.1186,3870673
16,1528805,170375.6,445766,15899.05,251448.8,3163.0226,6578037
17,10878830,1297579.6,509644,109908.3,1745750.8,15432.0556,689234
18,15013549,1798158.88,464997,151333.49,2413568.84,20819.88468,3543321
19,14070890,1678702.8,440858,141196.9,2266529.4,19939.5748,3223356
20,6464917,773210.04,493693,65817.17,1049200.72,9927.69044,2961363
21,13088868,1560386.16,538328,131466.68,2100309.88,17852.30576,6283417
22,4604839,542270.68,477828,46664.39,750599.24,7314.38748,6149725
23,2079139,249059.68,428187,21197.39,341845.24,3876.46348,3190191
24,5886278,705942.36,417652,59993.78,951478.48,8734.88696,5529598
25,10848884,1300637.08,542624,109225.84,1750439.44,15022.52688,4058911
26,11374735,1359419.2,503267,114671.35,1830955.6,16482.6502,4585218
27,5895480,706014.6,476054,60051.8,950869.8,8914.0336,2490982
28,6862925,814712,504224,69754.25,1109617,9709.061,4425656
29,4818392,576775.04,523425,48644.92,784953.72,7598.27744,5418127
30,11696691,1391077.92,458410,117767.91,1879747.56,15972.63212,6519222
31,16403222,1957954.64,452183,164892.22,2631475.52,22914.25304,1273413
32,13367775,1598032,521425,134275.75,2146107,18933.463,6223821
33,8738778,1048346.36,476358,88205.78,1411045.48,12470.18696,3785536
34,3965113,475551.56,434527,40109.13,638444.08,6084.94916,2182226
