Firm_id,Sales,Sales1,Price,Promotion,Distribution,customer_satisfaction,competition,total_employee,age
1,3053843.806,3053843.81,727,14,1453,6,12,7946,7
2,5188032.299,5188032.3,655,1,836,4,15,4375,5
3,5588262.033,5588262.03,443,5,604,2,19,3374,10
4,3072143.659,3072143.66,636,4,1426,1,9,7712,18
5,3659511.887,3659511.89,431,15,1184,7,3,5181,6
6,-2038362.659,2038362.66,608,0,1726,3,3,3795,9
7,5692246.539,5692246.54,655,16,1023,1,13,6983,3
8,2182818.948,2182818.95,406,4,1479,5,18,6917,17
9,2604994.009,2604994.01,677,17,1205,1,13,3640,10
10,2670683.119,2670683.12,718,19,1433,6,5,6896,16
11,7094529.166,7094529.17,360,19,502,2,14,5364,7
12,7355918.402,7355918.4,424,6,705,3,17,7156,4
13,5307034.234,5307034.23,407,4,1064,3,20,6843,3
14,6324196.824,6324196.82,725,10,840,3,18,6352,7
15,-1664023.375,1664023.38,626,12,1607,2,2,2193,9
16,4411571.424,4411571.42,355,2,855,7,15,3105,14
17,3690798.702,3690798.7,405,18,1103,3,18,4285,4
18,233766.8282,233766.83,595,17,1633,2,15,5975,15
19,5809194.866,5809194.87,623,6,759,4,9,4786,15
20,4744756.066,4744756.07,423,10,1051,3,14,5625,19
21,5240218.223,5240218.22,432,13,642,1,19,2931,6
22,-756864.0874,756864.09,339,9,1636,1,15,4360,14
23,523376.4921,523376.49,383,0,1421,4,9,3113,13
24,1211822.434,1211822.43,629,4,1544,5,17,6258,17
25,4066391.67,4066391.67,789,10,1220,5,5,6443,4
26,3067111.753,3067111.75,380,6,1212,4,2,4614,6
27,6398293.085,6398293.09,533,5,742,3,15,5731,11
28,2680218.956,2680218.96,401,5,1413,6,9,6746,10
29,4855645.938,4855645.94,439,7,899,2,18,4323,3
30,7739783.217,7739783.22,768,12,647,2,20,7393,12
31,4573711.53,4573711.53,485,3,1036,1,16,5253,18
32,2380674.027,2380674.03,716,14,1483,7,11,7212,9
33,230162.5904,230162.59,767,0,1469,3,14,3356,16
34,5177537.537,5177537.54,705,7,628,1,13,2786,6
35,6547425.05,6547425.05,685,14,571,6,7,4737,13
36,4762753.875,4762753.88,426,7,1206,5,12,7531,3
37,7146714.49,7146714.49,674,15,739,7,13,6886,11
38,-630663.8795,630663.88,430,16,1774,6,12,7025,4
39,-1445471.305,1445471.31,374,16,1655,5,6,3362,3
40,1378871.97,1378871.97,348,7,1421,7,6,4521,13
41,5684966.905,5684966.91,752,16,1107,2,10,7889,19
42,137092.265,137092.27,637,11,1426,2,18,2429,11
43,3381071.393,3381071.39,558,9,978,5,3,2400,20
44,2575970.58,2575970.58,748,14,1470,6,18,7366,11
45,-229105.9159,229105.92,703,8,1674,6,19,5934,5
46,5733273.078,5733273.08,743,4,924,7,20,6082,3
47,2099143.178,2099143.18,669,1,1511,1,14,7376,8
48,-583475.7099,583475.71,526,5,1770,1,19,7198,16
49,6175852.917,6175852.92,683,20,517,6,12,3739,11
50,1572681.687,1572681.69,598,10,1363,5,4,3990,14
51,-3861999.055,3861999.06,774,15,1867,3,16,3187,12
52,2127807.821,2127807.82,797,2,1464,6,7,6588,9
53,8084168.849,8084168.85,603,11,566,6,3,7462,16
54,7615340.845,7615340.85,374,19,516,4,8,6321,15
55,3242812.258,3242812.26,565,17,1217,3,14,4907,3
56,-2936775.38,2936775.38,630,9,1934,4,5,6269,8
57,8262979.134,8262979.13,629,17,566,2,10,7787,7
58,-4876156.685,4876156.69,404,14,1992,7,4,3983,14
59,863828.6852,863828.69,489,18,1384,6,4,2953,14
60,5670211.326,5670211.33,782,7,641,3,8,3713,7
61,-4767383.485,4767383.49,363,9,1928,1,17,2931,16
62,5621464.106,5621464.11,538,12,829,1,9,5004,18
63,6477059.285,6477059.29,437,15,583,3,6,4709,15
64,3134377.976,3134377.98,434,7,1329,2,7,6345,9
65,446885.9083,446885.91,458,10,1522,3,6,4506,6
66,-254084.9079,254084.91,646,19,1630,1,20,5051,17
67,6272566.554,6272566.55,355,2,583,7,3,4415,17
68,-5425579.916,5425579.92,670,1,1979,2,14,2919,18
69,-1553022.453,1553022.45,579,5,1864,2,2,7327,14
70,3848060.587,3848060.59,398,10,1076,2,8,4333,9
71,-532622.0917,532622.09,458,6,1711,6,9,6090,9
72,1308761.829,1308761.83,781,3,1315,5,16,2910,6
73,-565618.168,565618.17,720,7,1586,3,4,3807,18
74,-1087095.799,1087095.8,734,8,1549,5,4,2219,12
75,-1654232.886,1654232.89,662,7,1721,3,10,4313,14
76,-1847492.477,1847492.48,339,11,1855,2,17,6567,17
77,4859000.623,4859000.62,621,18,891,4,19,4114,14
78,3056790.945,3056790.95,722,0,1173,5,10,4139,18
79,1248483.353,1248483.35,432,2,1378,1,7,3772,11
80,5178985.235,5178985.24,478,12,658,7,20,2854,8
81,-905033.2148,905033.21,415,9,1642,2,11,4196,5
82,7164142.89,7164142.89,674,6,646,5,3,6379,6
83,1489609.819,1489609.82,540,7,1454,7,10,5230,16
84,539109.3675,539109.37,387,5,1670,2,14,7297,16
85,5133798.779,5133798.78,529,0,915,3,20,5024,4
86,-416149.5164,416149.52,399,4,1544,3,6,3399,5
87,-523902.0952,523902.1,448,15,1706,6,12,5923,14
88,5210825.848,5210825.85,754,8,871,6,2,4611,20
89,2161223.035,2161223.04,478,15,1345,4,2,4734,18
90,3830243.584,3830243.58,544,19,1080,1,7,4274,10
91,4779886.317,4779886.32,524,16,758,3,3,2871,8
92,4447074.002,4447074,446,13,865,2,6,3215,12
93,34595.71015,34595.71,389,14,1537,7,8,3922,18
94,-681982.7607,681982.76,655,3,1639,2,10,4591,12
95,3538838.328,3538838.33,743,1,1344,4,5,7311,8
96,2954878.945,2954878.95,574,12,1260,2,4,5010,18
97,1572004.67,1572004.67,537,1,1359,3,17,4053,12
98,-2104710.108,2104710.11,731,18,1893,2,3,6820,15
99,-1041037.072,1041037.07,765,1,1700,3,2,5065,14
100,8053145.802,8053145.8,794,0,616,3,17,7851,19
101,6585227.436,6585227.44,708,13,520,3,16,4593,6
102,6336182.009,6336182.01,592,6,568,5,20,4441,14
103,6584761.007,6584761.01,483,3,736,5,4,6011,3
104,4287500.35,4287500.35,685,6,863,4,7,2950,18
105,4840600.285,4840600.29,678,17,647,5,19,2162,6
106,4416415.972,4416415.97,468,1,1092,4,8,5584,13
107,452779.6749,452779.67,711,3,1655,2,16,6899,8
108,5254530.789,5254530.79,581,16,532,6,15,2218,11
109,944921.7897,944921.79,622,11,1628,4,9,7185,4
110,6652552.726,6652552.73,793,1,904,1,2,7624,5
111,-306619.3369,306619.34,306,13,1628,6,13,4917,6
112,4231373.679,4231373.68,529,9,1204,6,18,6526,10
113,-511550.362,511550.36,617,9,1688,3,8,5714,6
114,4178070.351,4178070.35,534,13,786,3,5,2046,17
115,6964836.668,6964836.67,617,11,512,3,17,5246,7
116,-3995813.007,3995813.01,739,9,1834,3,7,2339,5
