Customer Retention Probability ,Asset Value,Income
0.3089,Low,High
0.1563,Low,High
0.1339,Low,High
0.2407,Low,High
0.2027,Low,High
0.2429,Low,High
0.294,Low,High
0.2394,Low,High
0.7255,Low,Low
0.7285,Low,Low
0.7375,Low,Low
0.6855,Low,Low
0.7093,Low,Low
0.6996,Low,Low
0.6619,Low,Low
0.7052,Low,Low
0.0635,High,Low
0.0532,High,Low
0.953,High,Low
0.9355,High,Low
0.9389,High,Low
0.9852,High,Low
0.9923,High,Low
0.267,High,Low
0.98,High,High
0.97,High,High
0.96,High,High
0.94,High,High
0.93,High,High
0.96,High,High
0.99,High,High
0.98,High,High
