FACSEX,FACETHN,FACNAT,FACRANK,EMPLOYM,SALARY,YRSTEACH,YRSUT,DEGREE,SAMPLE,REMIND,NSTUD,STUDRANK,STUDSEX,GRADE,GPA,SATISFY,RELIGION,PSD,ITEM13,ITEM14,ITEM15,ITEM16,ITEM17,ITEM18,ITEM19,ITEM20,ITEM21,ITEM22,ITEM23,ITEM24,ITEM25,ITEM26,ITEM27,ITEM28,ITEM29,ITEM30,ITEM31,ITEM32,ITEM33,ITEM34,ITEM35,ITEM36,ITEM37,ITEM38,ITEM39,ITEM40,ITEM41,ITEM42,ITEM43,ITEM44,ITEM45,ITEM46,ITEM47,ITEM48,ITEM49,ITEM50,ITEM51,ITEM52,RACE,SEXISM,RACISM,RPOLICY,CASTEMAN,COMPETEN,SENSITIV,CSTATUS
1,1,1,1,25,24,,0,1,2,1,23,4,1,4,4,3,3,4,5,5,5,5,5,5,5,3,5,5,4,3,3,2,2,3,4,1,4,3,2,3,1,1,1,1,5,3,3,3,3,5,3,3,3,5,1,4,3,2,1,2.4615384615,2.125,2.5,3.5,5,4.6,7.03
1,1,1,1,25,24,,0,1,2,1,23,4,2,4,4,1,3,2,5,4,4,4,5,3,4,3,4,4,4,3,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,1,3,2,3,3,2,1,3,1,1,1,2,1,1.6923076923,1.5,2,1,4.4,3.6,7.03
1,1,1,1,25,24,,0,1,2,1,23,4,1,4,3,1,3,4,5,4,5,5,5,5,5,4,4,4,4,4,2,4,2,4,4,2,4,4,2,5,2,2,4,2,2,2,4,1,3,4,2,3,2,4,2,4,3,2,1,2.7692307692,2.625,3.5,4.5,4.8,4.4,7.03
1,1,1,1,25,24,,0,1,2,1,23,4,2,4,3,3,3,2,4,4,4,4,4,2,4,4,4,4,3,3,4,2,2,1,2,1,2,2,1,1,2,2,3,2,2,1,1,2,2,3,1,1,1,3,1,1,1,1,1,1.5384615385,1.5,2,1,4,3.6,7.03
1,1,1,1,25,24,,0,1,2,1,23,4,2,5,3,1,5,2,5,5,4,5,4,5,5,5,4,5,5,4,2,1,1,2,3,2,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,3,1,2,1,1,1,1.3846153846,1.375,1.5,1.5,4.6,4.8,7.03
1,1,1,1,25,24,,0,1,2,1,23,4,2,4,3,1,3,3,5,5,4,4,5,5,4,5,4,4,5,5,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1.6153846154,1,2,1,4.6,4.4,7.03
1,1,1,1,25,24,,0,1,2,1,23,4,2,4,5,3,3,5,5,5,5,5,5,4,5,5,5,2,4,4,2,2,1,3,2,3,3,3,1,2,1,2,1,3,3,2,2,2,5,5,5,3,3,5,1,3,1,2,1,2,2.5,3.5,2.5,5,4.2,7.03
1,1,1,1,25,24,,0,1,2,1,23,4,1,4,3,1,3,4,5,5,4,4,5,5,5,4,4,4,4,3,3,4,2,4,4,4,4,4,5,5,3,3,4,2,3,3,3,3,3,5,3,3,3,4,3,5,3,4,1,3.5384615385,3.125,3.5,5,4.6,4.4,7.03
1,1,1,1,25,24,,0,1,2,1,23,3,2,4,5,5,3,3,5,5,5,5,5,4,4,3,4,3,4,4,3,2,1,2,3,2,4,3,1,2,1,1,2,1,2,1,1,3,2,3,3,2,2,2,2,2,1,1,1,2,1.625,2,2,5,3.6,7.03
1,1,1,1,25,24,,0,1,2,1,23,3,2,4,3,1,3,3,5,4,4,4,5,4,5,4,4,3,4,4,2,1,1,2,2,2,1,1,1,3,1,1,2,1,1,1,1,2,3,4,3,2,2,2,1,3,1,2,1,1.5384615385,1.375,2,3,4.4,4,7.03
1,1,1,2,100,35,2,2,3,1,2,6,5,1,4,5,1,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,2,3,4,3,3,4,3,3,1,3.0769230769,3,3.5,3.5,4.8,5,7.03
1,3,1,3,100,35,8,3,3,1,1,29,3,1,3,1,1,3,4,5,5,5,4,5,4,5,4,4,4,5,5,2,4,3,4,3,4,4,3,2,3,3,2,3,2,3,3,3,4,5,5,3,3,3,4,3,3,3,3,1,3.1538461538,3,4.5,3,4.8,4.2,7.03
1,3,1,3,100,35,8,3,3,1,1,29,3,1,4,3,1,5,5,5,5,5,4,4,5,5,4,4,4,5,5,2,1,1,3,4,1,2,1,3,1,3,1,3,1,1,1,3,2,3,5,4,2,3,4,1,1,3,3,1,2.6923076923,1.375,2,1,4.6,4.4,7.03
1,3,1,3,100,35,8,3,3,1,1,29,3,1,4,2,1,3,4,4,5,5,5,4,4,4,4,3,3,4,3,,4,2,3,4,4,4,3,3,3,3,2,4,2,2,2,5,5,5,5,5,3,3,3,4,3,3,4,1,3.9230769231,2.625,4.5,3,4.6,3.6,7.03
1,3,1,3,100,35,8,3,3,1,1,29,,2,4,5,5,5,2,5,4,4,4,5,4,3,4,4,3,4,4,2,1,2,2,2,3,2,2,2,2,2,1,3,1,1,1,3,2,3,3,3,3,3,3,2,2,2,1,1,2.1538461538,1.875,2,2,4.4,3.6,7.03
